"","trip","real","normal","normal_F","normal_5","normal_95","t","frequency"
"19",141,1190.99699997902,1442.32800562649,1369.50148491211,1371.11567278452,1305.79705320974,1504.04152041002,951.886444349548
"20",158,1669.96499991417,1990.35077185187,2431.16736154796,2720.07222060605,1874.95702407274,2064.01799695182,1195.70437840065
"21",164,3384.92100000381,2513.91286178562,3812.33103969574,2817.16994031054,3780.04318635346,1912.7028016426,2027.00720301103
"22",174,1058.01999998093,1252.13650835151,1180.01853489368,1361.46454780715,2288.78130770901,726.168575546032,583.729158553353
"23",181,1269.11100006104,1392.04562377977,1952.0224971503,1263.44624129384,1369.49392776554,3163.11766209383,1080.70565692727
"24",192,2639.72900009155,2714.35624408117,5912.23187050362,3448.33325027213,3440.85607574189,3199.50398770309,985.198897195545
"25",202,1006,888.171718762485,1097.82105877776,982.576130297976,1094.8945019357,1721.93472954344,1821.13433968503
"26",207,140,850.631700749639,710.54783125801,806.947636941769,705.055078996474,7932.66125477369,1950.58882319414
"27",208,1645,1771.00299282837,2283.2847100286,1650.47340990367,2881.61959864786,1788.52741849176,3272.25720524172
"28",210,714,698.173974860531,1240.87966549211,1087.56525016324,974.674647046066,514.396328929078,1559.71352678273
"29",214,2158,1822.26460250153,1635.39101442875,2091.70557183413,1970.90871466161,2785.12490587341,2672.44038995439
"30",216,2778,2018.38806227269,2499.92893455714,2156.27869318565,2111.45404058252,1497.49244306415,3126.35483049068
"31",225,798,508.987738886111,1203.65735399094,1022.51787237229,1146.31568203636,1569.90731683299,1447.38749335223
"32",250,1873,2005.91787939468,2344.09459230764,1829.56001147997,2087.66882930173,1132.27092559466,1688.114261418
"33",256,2507.64800000191,1856.0258147708,2380.4965065611,1741.04520421973,1852.31386019805,1948.46080095628,496.687758765059
"34",258,2782.01699995995,1860.13976931787,2009.71899474615,1987.81706294292,1819.5793648335,3246.69832617607,945.921197498924
"35",263,635,606.132869317737,671.443062167663,810.244510877042,531.912321990256,24153.0732217046,3253.43052198622
"36",265,1473,1137.41108852081,1095.67346371801,898.803886337292,1555.87643381356,1753.78211529634,2234.17355271428
"37",284,1235,1049.85313020273,969.066630871062,1023.24949845789,1372.37300292764,1943.39780275643,1820.70581824141
"38",296,334,504.770087483642,367.203254871472,504.992022760637,394.168974804775,623.009364927628,3483.49287779391
"39",298,1881.66000008583,2478.84333785975,2081.25293470008,1729.67142691923,2022.7165738358,4127.17093404818,1695.11784635334
"40",312,1519,1433.7186022224,2059.5715841847,1423.15779447941,1907.2822048238,2030.90046143904,1724.35922977645
"41",347,2113.007999897,2093.16231724136,9789.58056756306,1522.27647790411,1958.74890583759,4584.5310453345,1341.22426180191
"42",350,970,1199.18604758171,702.546845933165,712.021151171881,930.858821635739,127.776895368838,2814.70107415894
"43",352,1714.14400005341,1833.12781076682,3745.66838069623,1525.4250998337,2295.38361667855,2059.44663145993,1620.3402718764
"44",377,1725.6289999485,1787.57319338532,1659.34565214567,1919.57847509766,2026.44567195703,2205.34986555918,1483.75691034223
"45",378,978.260999917984,901.506879955478,1091.3011873342,712.665618841136,21718.188414839,232.156888723863,1318.93547836041
"46",383,1454.47900009155,1571.34967131779,1439.05152978688,1214.80474457852,1368.39557472739,4411.94656393521,876.415940656867
"47",385,505,497.953866790265,684.899170142466,497.313153364453,675.149360443391,1374.9870360573,2499.38155328102
"48",417,2887,2336.90066936933,3189.07441895232,2684.20363530732,4252.04436596937,1442.79842111928,1169.89734636456
"49",447,1253.99699997902,1369.63935507045,1150.21037106967,1014.04322704244,1194.34024675518,2342.87772896944,976.867325920128
"50",473,2033,1653.20506362804,2128.861974122,2095.55188483996,2028.66242501321,1754.46479421203,1416.9013731838
"51",474,1641,1679.7317822455,1673.20797294822,1884.24497131157,1608.84939901222,3142.54725078045,2004.97409329089
"52",479,2913.125,2890.2649095616,2043.82970544344,2347.27233797729,1922.05162365607,4802.81961209009,1103.55660067706
"53",485,2588.0720000267,2334.9749683221,2639.05002081747,2490.01667573511,2435.19877769408,3239.38748217088,1075.84582866878
"54",509,2283,1904.29510872101,2084.1844487315,1721.50225876784,1853.91006846823,4940.11854452886,1066.41746368122
"55",517,1096,1074.54725959717,1165.97122085473,962.538948634339,1028.55541675257,3437.9165684431,2110.11879276917
"56",520,1689.10100007057,1418.52947471723,3029.63714673058,1921.19138574862,1540.86938881131,1713.38939511335,377.406517701453
"57",546,1816.45700001717,1722.02161693685,2204.00567832137,2097.0736872642,1541.48542059339,3747.84145041474,2184.27145651557
"58",561,1366,1464.86148552968,1443.36060290094,1271.77507703787,1976.81032439806,3376.57981060766,1498.82598698084
"59",570,1723.98300004005,988.69284159486,2657.27404867486,1035.28272582266,1053.4767481771,3689.01797287315,2169.14654003227
"60",577,2246.71499991417,2018.93670904344,2059.5997926228,1884.82602655373,1879.74775927454,2166.18393594397,1682.97394391742
"61",585,1638,1423.43462235536,2381.52100792008,1453.18669544867,1077.56854432698,943.902261709732,2043.54773124444
"62",600,2468.86100006104,2586.93115125421,2338.85815563738,2322.49350927439,2608.19631457885,430.727659707156,929.914656304847
"63",606,1792.57699990273,1502.23729864532,1584.55121048777,1444.94029619634,1532.81167162597,2044.45115981035,1035.8484837947
"64",618,1265,1183.67716514898,1079.84596186106,1223.32968578708,1122.81970590055,3463.82754930333,948.69604187683
"65",623,1292,916.028837180058,4081.6046685084,1005.46376808078,860.89760058572,1360.38279297032,1408.43986739024
"66",625,1661.84899997711,1707.83063453937,1747.56227515321,1571.94225189209,1596.04218707777,624.680829221175,1672.28487261148
"67",629,1428.13599991798,1582.39689137843,1934.85683918056,2036.64405242334,1638.70888672786,1833.87433664596,414.346326715995
"68",633,1402.03500008583,1302.45969347811,2211.25416671418,1155.61364892002,1220.90280926693,35354.631938049,1040.0027195896
"69",645,2076,1900.53967157628,1610.23174675165,1324.12080027713,1349.82260202159,2079.76308591306,2345.42079585638
"70",661,1106,999.371405497812,1241.10001452366,887.447178072361,963.499496646708,5643.82763890555,2648.81020205822
"71",674,2465.62299990654,1914.62379860568,2452.52980198262,2560.45368506692,2576.95089061951,6740.33996770095,1802.27405543735
"72",700,1110,903.829454756694,1269.455151886,1142.50026741246,1051.26899997924,981.361197274653,752.065699351767
"73",704,1637,1456.60820498704,1417.45498593864,939.497557978149,2013.15720576993,10049.7904966021,653.490101477924
"74",760,656.107000112534,723.105406544733,778.071853120396,758.010051576061,917.039123557411,344.327861502506,1615.77035748853
"75",763,2076,1798.45230445343,3513.04999900566,2191.13751670397,1797.73779640428,11654.1421405909,1289.74647436256
"76",772,1474.12199997902,1548.05401902415,1858.2592426081,2045.67013230371,1769.67603456317,2562.20125689412,1609.15088576223
"77",786,731,502.069085816708,549.656465047448,570.089192412932,460.8319716059,1876.94126574496,2968.81213277997
"78",790,1186.79600000381,1289.54031664886,4116.32827063443,1374.78273340958,906.084457960019,728.223036871576,959.22940171457
"79",793,1557.27900004387,1523.54313893107,1680.92265668944,1785.61670427184,1519.58662400211,4283.34353156645,473.588690173621
"80",801,585.90700006485,489.015807749704,1077.39168157816,594.418533376132,610.409132161205,423.357418822042,1100.30727059569
"81",811,1305,1296.98785348045,1131.45408580045,1417.71410981462,1235.68566799259,1176.13770108761,830.617435874347
"82",816,1169,1446.3294577799,1795.17053308487,1599.68833338717,4705.62618902735,1577.74132965918,1261.33476844189
"83",827,270,312.071148828744,301.208717712892,280.255966937473,305.47519348934,833.102089564523,2644.70576028718
"84",845,1601,1404.64739826394,1285.4327536156,1410.73719988585,1443.97978207753,4909.45817898939,1502.24996716806
"85",854,1961,1883.88673910275,1915.09799153012,1984.70171441995,1860.41121066732,1743.99433444012,664.181926347363
"86",861,1967,2460.84589487803,2266.95097440135,3196.47780174583,2261.86279092258,1688.75015748563,602.956364756176
"87",866,1496,2025.57907464636,1878.04086123248,1746.38536203341,1304.86022432663,1465.09335258107,935.548298124611
"88",902,680,1032.50005330594,888.194275532779,643.562648880036,826.542537659043,2161.72848166433,1245.63981798232
"89",930,108.838999986649,102.869441030243,113.286052867181,159.262069920598,101.269865600264,386.841406235152,2792.44435833626
"90",934,3233,1899.45374473693,1912.73151890158,1749.97110589463,1515.14875919074,858.702631966901,1084.63782452352
"91",936,1483.02600002289,1736.27484661281,1832.07405570296,1743.36479494648,1445.80180197781,1420.5409915861,2503.81046545901
"92",946,1136.64499998093,1046.9554164821,2255.54026514537,1425.36472616437,2049.53660686957,2130.055546193,1645.8883594243
"93",957,750,834.675026456376,1380.83748483061,830.682088526053,1149.59370993968,2243.37107021037,1386.83052736411
"94",959,603.339999914169,600.854775255447,1127.87131017651,582.741663966997,594.844093580204,1479.19034999195,2989.15070754661
"95",971,577,669.014833055872,736.99140391897,544.76983164082,2943.64768527547,506.914457099974,2188.87873083748
"96",981,1851,1876.14407602072,2056.04390415411,1843.34447924156,1912.35780182927,530.698193509771,731.036075931514
"97",995,1693,1432.72087079049,2937.82936418847,1592.67319569151,1612.68658375102,8578.46459462502,1759.86669671452
"98",1003,3948,3296.27307119779,3364.4932666019,3324.98011185496,3490.12667109229,3710.17800657966,1965.94646486076
"99",1006,1873.46700000763,1918.46495601347,1755.41196981804,2072.47821429813,1543.71137912671,10666.8040438714,1043.61462799308
"100",1017,2276,1902.42382970378,2310.11169222166,2333.70318657275,1973.57629945972,2343.38717617321,374.423204121941
"101",1041,1693,1777.02048151693,1720.0878565394,1764.35064723125,1721.60320111167,3206.84002458713,2447.31868066714
"102",1046,1242,988.344153774601,1054.32526085287,1413.45431614406,869.201467318646,1561.28542906033,1490.69973821099
"103",1047,696.700000047684,1011.93402945058,673.067162589577,628.429450347397,831.389799765783,1123.06335054482,211.453734542796
"104",1073,1107,1096.9997269806,1425.06019300528,1182.34407625225,984.413773114428,1080.9506094858,722.66108200717
"105",1078,613.401999950409,540.912434924218,751.586145982095,505.6153330394,565.918666025462,1965.5577558943,1394.33491385001
"106",1083,961,802.092695781261,1318.69117977036,1339.42142678913,913.553689145403,1064.27082964032,1288.35004590834
"107",1086,510.068000078201,479.832092142593,430.438927710793,417.468770781513,524.82987342643,3132.2908566405,1305.6831770202
